,,,,,
,,,,,
,#,Data,Serviço,Descrição no extrato,Valor
,1,01/02,AWS,Amazon AWS Servicos Br — São Paulo,"R$ 205,45"
,2,01/02,Vultr,VULTR BY CONSTANT — Matawan NJ,"R$ 164,74"
,3,01/02,DigitalOcean,DIGITALOCEAN.COM — Amsterdam NH,"R$ 8,78"
,4,01/03,AWS,Amazon AWS Servicos Br — São Paulo,"R$ 186,11"
,5,01/03,Vultr,VULTR BY CONSTANT — Matawan NJ,"R$ 162,21"
,6,01/04,AWS,Amazon AWS Servicos Br — São Paulo,"R$ 203,59"
,7,01/04,Vultr,VULTR BY CONSTANT — Matawan NJ,"R$ 218,80"
,8,24/08,name.com,"Name.com, Inc — 7202492374 CO","R$ 487,81"
,9,01/09,Vultr,VULTR BY CONSTANT — Matawan NJ,"R$ 162,44"
,10,10/09,Vultr,VULTR BY CONSTANT — Matawan NJ,"R$ 49,66"
,,,,Total,"R$ 1.849,59"
